col 1 = census tract (i) 
col 2 = census block group (j) 
col 3 = n_{ij}
col 4 = horizontal location of centroid for ij
col 5 = vertical location of centroid for ij
col 6 = u_{ij} (1=urban, 0=rural)
col 7 = w_{ij} (1=near waste site, 0=not)
col 8 = E(Y_{ij} | \by) (posterior predicted mean)
col 9 = y_{ij} (actual data value)
col 10 = location name

       1   1   1617    -24.9   -13.9   0   0   0.5826   0.3   GROTON TOWN     
       1   2   1526    -30.0   -13.6   0   1   1.668    0.8   GROTON VILLAGE   
       1   3   1368    -32.1   -13.8   0   1   1.4959   1.8   GROTON VILLAGE   
       1   4    702    -36.1   -12.6   0   0   0.2529   1.1   GROTON TOWN    

       2   1   1546    -39.8   -16.1   0   0   0.3948   0.0   LANSING TOWN
       2   2    962    -43.9   -15.7   0   0   0.2457   1.0   LANSING TOWN   
       2   3   1408    -48.7   -13.8   0   0   0.3596   0.0   LANSING TOWN   

       3   1    887    -40.5   -22.9   0   0   0        0.0   LANSING TOWN

       4   1    475    -43.5   -20.2   0   0   0        0.0   LANSING TOWN

       5   1   1335    -48.3   -21.4   0   0   0.3792   0.0   ULYSSES TOWN
       5   2   2065    -55.0   -19.1   0   0   0.5866   1.0   TRUMANSBURG VILLAGE
       5   3   1269    -50.1   -24.6   0   0   0.3605   0.0   ENFIELD TOWN
       5   4    782    -55.1   -30.1   0   0   0.2221   0.0   ENFIELD TOWN
       5   5   1590    -51.1   -29.1   0   0   0.4516   1.0   ENFIELD TOWN

         
       6   1   1343    -46.1   -27.4   1   0   0.4257   1.0   ITHACA CITY   
       6   2    767    -42.2   -29.2   1   1   0.2065   0.0   ITHACA CITY   
       6   3   1366    -42.4   -29.6   1   1   0.3678   0.0   ITHACA CITY    

       7   1   2010    -40.7   -26.9   0   0   3.5429   3.0   CAYUGA HGHTS VILLAGE         
       7   2   1394    -40.4   -28.3   0   0   2.4571   3.0   CAYUGA HGHTS VILLAGE  

       8   1   2630    -38.6   -26.8   0   0       3    3.0   EAST CAYUGA HGHTS CDP    

       9   1   1078    -39.1   -28.3   1   0   0.6192   0.0   ITHACA CITY   
       9   2    699    -39.5   -30.0   0   0   0.3808   1.0   ITHACA TOWN   

      10   1   4436    -41.0   -28.7   1   0   1.1537   0.0   ITHACA CITY  
      10   2   1856    -41.9   -29.3   1   1   0.4018   2.0   ITHACA CITY    
      10   3   4250    -40.9   -29.5   1   1     0.92   1.0   ITHACA CITY      
      10   4   2473    -41.7   -30.1   1   1   0.5354   0.0   ITHACA CITY   

      11   1   3075    -40.7   -30.4   1   1   2.1168   3.0   ITHACA CITY  
      11   2   1283    -42.3   -30.8   1   1   0.8832   0.0   ITHACA CITY  

      12   1   2687    -41.6   -31.1   1   1   2.0776   2.0   ITHACA CITY   
      12   2   1193    -42.6   -31.3   1   1   0.9224   1.0   ITHACA CITY   
 
      13   1   1870    -42.3   -30.2   1   1   0.3321   0.5   ITHACA CITY     
      13   2   1071    -42.7   -30.1   1   1   0.1902   0.5   ITHACA CITY  
      13   3   2689    -43.7   -30.5   1   1   0.4776   0.0   ITHACA CITY  

      14   1    971    -47.5   -30.8   0   0        0   0.0   ITHACA TOWN  

      15   1   5613    -40.5   -32.9   0   0        1   1.0   SOUTH HILL CDP 

      16   1    524    -36.4   -33.9   0   0        0   0.0   ITHACA TOWN    

      17   1    884    -37.1   -29.9   0   0        1   1.0   DRYDEN TOWN   

      18   1   3025    -34.1   -27.8   0   0        0   0.0   DRYDEN TOWN   

      19   1   1527    -33.4   -21.5   0   0   0.1977   0.0   DRYDEN TOWN   
      19   2    427    -29.0   -22.5   0   0   0.0553   0.0   FREEVILLE VILLAGE
      19   3   1509    -25.8   -20.9   0   0   0.1954   0.0   FREEVILLE VILLAGE
      19   4   1925    -28.6   -22.6   0   0   0.2493   1.0   DRYDEN VILLAGE
      19   5   2335    -27.1   -28.1   0   0   0.3023   0.0   DRYDEN VILLAGE  

      20   1   1242    -26.5   -37.6   0   0   0.7161   0.0   CAROLINE TOWN  
      20   2   1550    -32.3   -39.2   0   0   0.8937   3.0   CAROLINE TOWN 
      20   3   1035    -37.7   -38.4   0   0   0.5968   0.0   CAROLINE TOWN   
      20   4   1376    -42.1   -42.2   0   0   0.7934   0.0   DANBY TOWN

      21   1   2713    -48.1   -42.0   0   0   0.6165   0.0   NEWFIELD TOWN  
      21   2   1688    -54.2   -42.2   0   0   0.3835   1.0   NEWFIELD TOWN  

      22   1   1010    -42.0   -24.8   0   0   0        0.0   LANSING VILLAGE 

      23   1   2029    -42.7   -27.3   0   0   2        2.0   LANSING VILLAGE
